name,hex_color,id,kind
שחור,#000000,שחור,colors
לבן,#FFFFFF,לבן,colors
שמנת,#FFFDD0,שמנת,colors
גוף,#FFE4C4,גוף,colors
חום,#8B4513,חום,colors
כחול כהה,#00008B,כחול כהה,colors
כחול גי'נס,#5D76A9,כחול גי'נס,colors
כחול רוייאל,#4169E1,כחול רוייאל,colors
כסף,#C0C0C0,כסף,colors
אפור בהיר,#D3D3D3,אפור בהיר,colors
אפור כהה,#A9A9A9,אפור כהה,colors
טורקיז,#40E0D0,טורקיז,colors
ירוק זית,#808000,ירוק זית,colors
ירוק כהה,#006400,ירוק כהה,colors
ירוק צ'אן,#00A86B,ירוק צ'אן,colors
חרדל,#FFDB58,חרדל,colors
סגול כהה,#4B0082,סגול כהה,colors
בורדו,#800020,בורדו,colors
אדום יין,#8B0000,אדום יין,colors
ורוד עתיק,#D3A9A9,ורוד עתיק,colors
ורוד ביבי,#FFC0CB,ורוד ביבי,colors
תכלת,#ADD8E6,תכלת,colors
חמרה,#A52A2A,חמרה,colors
